group,category,cases
TEAM0001,1,131
TEAM0002,1,48
TEAM0003,1,615
TEAM0003,2,21
TEAM0004,1,3
TEAM0005,1,4
TEAM0007,1,1115
TEAM0007,2,128
TEAM0008,1,1851
TEAM0008,2,226
TEAM0010,1,116
TEAM0010,2,24
TEAM0013,1,34
TEAM0013,2,175
TEAM0014,1,816
TEAM0014,2,49
TEAM0015,1,42
TEAM0015,2,22
TEAM0016,1,19
TEAM0016,2,4
TEAM0017,1,255
TEAM0017,2,53
TEAM0018,1,14
TEAM0018,2,1396
TEAM0019,1,7
TEAM0019,2,93
TEAM0020,1,31
TEAM0021,1,251
TEAM0021,2,8
TEAM0023,1,1691
TEAM0023,2,9
TEAM0024,1,30
TEAM0024,2,72
TEAM0025,1,12
TEAM0025,2,158
TEAM0027,1,42
TEAM0027,2,19
TEAM0028,1,17
TEAM0028,2,109
TEAM0029,2,11
TEAM0031,1,2140
TEAM0031,2,4
TEAM0032,1,25
TEAM0033,1,252
TEAM0033,2,12
TEAM0034,1,7
TEAM0034,2,10
TEAM0035,2,5
TEAM0036,1,3
TEAM0036,2,5
TEAM0038,1,21
TEAM0038,2,76
TEAM0039,1,2939
TEAM0039,2,6
TEAM0040,1,53
TEAM0041,1,151
TEAM0041,2,10
TEAM0042,1,85
TEAM0042,2,24
TEAM0043,1,32
TEAM0044,1,345
TEAM0044,2,221
TEAM0045,1,102
TEAM0046,1,134
TEAM0046,2,22
TEAM0047,1,73
TEAM0048,1,97
TEAM0048,2,19
TEAM0049,1,225
TEAM0049,2,223
TEAM0050,1,13
TEAM0050,2,5
TEAM0051,1,50
TEAM0051,2,49
TEAM0052,1,379
TEAM0052,2,12
TEAM0053,1,7
TEAM0053,2,4
TEAM0054,1,3
TEAM0056,1,47
TEAM0057,1,441
TEAM0058,1,38
TEAM0058,2,8
TEAM0059,1,69
TEAM0059,2,3
TEAM0060,1,3
TEAM0063,1,324
TEAM0064,1,11
TEAM0064,2,3
TEAM0065,1,90
TEAM0066,1,105
TEAM0066,2,9
TEAM0068,1,4
TEAM0069,1,484
TEAM0071,1,48
TEAM0073,1,5
TEAM0074,1,12
TEAM0075,1,1122
TEAM0075,2,36
TEAM0076,1,13
TEAM0077,1,13
TEAM0078,1,14
TEAM0078,2,19
TEAM0085,1,23
TEAM0085,2,10
TEAM0086,1,1259
TEAM0087,1,267
TEAM0087,2,22
TEAM0088,1,8
TEAM0088,2,7
TEAM0091,1,49
TEAM0091,2,8
TEAM0092,1,236
TEAM0092,2,16
TEAM0093,1,8
TEAM0093,2,123
TEAM0094,1,107
TEAM0094,2,56
TEAM0097,1,23
TEAM0097,2,27
TEAM0100,1,10
TEAM0101,1,52
TEAM0101,2,6
TEAM0102,1,7
TEAM0102,2,404
TEAM0104,1,73
TEAM0104,2,13
TEAM0105,1,338
TEAM0106,1,9
TEAM0107,1,4
TEAM0108,1,119
TEAM0108,2,19
TEAM0112,2,22
TEAM0113,1,96
TEAM0119,1,223
TEAM0121,1,8
TEAM0122,1,7
TEAM0122,2,3
TEAM0123,2,260
TEAM0125,2,4
TEAM0127,1,188
TEAM0127,2,55
TEAM0128,1,20
TEAM0128,2,45
TEAM0129,1,9
TEAM0131,1,18
TEAM0132,1,326
TEAM0132,2,7
TEAM0133,0,7
TEAM0134,1,295
TEAM0135,1,9
TEAM0137,1,7
TEAM0138,1,4
TEAM0141,1,10
TEAM0143,1,82
TEAM0143,2,52
TEAM0151,1,10
TEAM0152,2,3
TEAM0154,1,6
TEAM0155,1,10
TEAM0166,1,51
TEAM0166,2,12
TEAM0170,1,16
TEAM0171,1,316
TEAM0171,2,5
TEAM0172,1,13
TEAM0173,1,105
TEAM0173,2,4
TEAM0174,1,5
TEAM0174,2,3
TEAM0175,1,141
TEAM0176,1,396
TEAM0176,2,21
TEAM0179,1,8
TEAM0179,2,117
TEAM0180,1,24
TEAM0181,1,841
TEAM0181,2,21
TEAM0182,1,8
TEAM0184,1,7
TEAM0185,1,37
TEAM0186,1,9
TEAM0186,2,104
TEAM0187,1,275
TEAM0188,1,197
TEAM0188,2,10
TEAM0189,1,5
TEAM0190,1,200
TEAM0190,2,331
TEAM0191,1,1509
TEAM0192,1,283
TEAM0192,2,191
TEAM0193,1,9
TEAM0197,1,338
TEAM0198,1,54
TEAM0198,2,22
TEAM0199,1,68
TEAM0199,2,4
TEAM0202,1,11
TEAM0202,2,16
TEAM0203,1,3
TEAM0205,1,348
TEAM0205,2,15
TEAM0207,1,78
TEAM0207,2,36
TEAM0208,1,49
TEAM0209,1,10
TEAM0210,1,28
TEAM0210,2,37
TEAM0212,1,38
TEAM0212,2,17
TEAM0213,1,19
TEAM0213,2,6
TEAM0215,1,63
TEAM0216,1,4
TEAM0216,2,8
TEAM0217,1,10
TEAM0219,2,8
TEAM0221,1,6
TEAM0221,2,3
TEAM9999,1,81
TEAM9999,2,35
unknown,1,3445
unknown,2,1494
