group,cases,breach_rate
TEAM0001,131,0.5496
TEAM0002,50,0.88
TEAM0003,636,0.8176
TEAM0004,4,0.75
TEAM0005,4,1.0
TEAM0007,1243,0.6549
TEAM0008,2077,0.4275
TEAM0010,141,0.4752
TEAM0013,209,0.4306
TEAM0014,865,0.6451
TEAM0015,64,0.8594
TEAM0016,23,0.3913
TEAM0017,308,0.789
TEAM0018,1410,0.4929
TEAM0019,100,0.72
TEAM0020,32,0.375
TEAM0021,259,0.6293
TEAM0022,1,0.0
TEAM0023,1700,0.3018
TEAM0024,102,0.6765
TEAM0025,170,0.1118
TEAM0027,61,0.8197
TEAM0028,126,0.5714
TEAM0029,13,0.7692
TEAM0031,2144,0.2724
TEAM0032,27,0.2222
TEAM0033,264,0.4962
TEAM0034,17,0.8824
TEAM0035,5,0.6
TEAM0036,8,1.0
TEAM0038,97,0.4845
TEAM0039,2945,0.1973
TEAM0040,53,0.4717
TEAM0041,161,0.3478
TEAM0042,109,0.6055
TEAM0043,32,0.25
TEAM0044,566,0.3604
TEAM0045,102,0.3529
TEAM0046,156,0.2051
TEAM0047,74,0.4324
TEAM0048,116,0.6034
TEAM0049,448,0.192
TEAM0050,18,0.6111
TEAM0051,99,0.4747
TEAM0052,391,0.1714
TEAM0053,11,0.6364
TEAM0054,3,1.0
TEAM0055,2,1.0
TEAM0056,47,0.8723
TEAM0057,442,0.6493
TEAM0058,46,0.5652
TEAM0059,72,0.3611
TEAM0060,3,0.6667
TEAM0063,324,0.6235
TEAM0064,14,0.5
TEAM0065,92,0.413
TEAM0066,114,0.4211
TEAM0067,1,0.0
TEAM0068,4,0.5
TEAM0069,484,0.4298
TEAM0071,48,0.5833
TEAM0073,5,0.6
TEAM0074,12,0.5
TEAM0075,1158,0.4041
TEAM0076,15,0.6
TEAM0077,14,0.1429
TEAM0078,33,0.4848
TEAM0079,2,1.0
TEAM0080,1,1.0
TEAM0085,33,0.2424
TEAM0086,1260,0.7635
TEAM0087,289,0.3287
TEAM0088,15,0.6667
TEAM0091,57,0.193
TEAM0092,252,0.5
TEAM0093,131,0.7863
TEAM0094,163,0.4969
TEAM0096,2,1.0
TEAM0097,50,0.48
TEAM0100,10,0.4
TEAM0101,58,0.569
TEAM0102,411,0.3114
TEAM0103,1,0.0
TEAM0104,86,0.593
TEAM0105,339,0.0295
TEAM0106,9,1.0
TEAM0107,5,0.4
TEAM0108,138,0.3333
TEAM0109,1,0.0
TEAM0110,1,0.0
TEAM0112,22,0.6818
TEAM0113,96,0.3854
TEAM0118,2,1.0
TEAM0119,223,0.13
TEAM0120,1,1.0
TEAM0121,8,0.625
TEAM0122,10,0.5
TEAM0123,261,0.705
TEAM0125,5,0.0
TEAM0127,243,0.3745
TEAM0128,65,0.3846
TEAM0129,9,0.5556
TEAM0130,2,1.0
TEAM0131,18,0.7222
TEAM0132,333,0.5015
TEAM0133,8,0.875
TEAM0134,297,0.1481
TEAM0135,9,0.1111
TEAM0137,7,0.7143
TEAM0138,6,0.5
TEAM0141,11,0.7273
TEAM0143,134,0.5149
TEAM0145,2,1.0
TEAM0146,1,0.0
TEAM0151,10,0.8
TEAM0152,4,0.5
TEAM0154,6,0.5
TEAM0155,10,0.4
TEAM0163,1,1.0
TEAM0166,63,0.3016
TEAM0169,1,1.0
TEAM0170,17,0.0588
TEAM0171,321,0.6386
TEAM0172,15,0.4667
TEAM0173,109,0.3853
TEAM0174,8,0.625
TEAM0175,141,0.1206
TEAM0176,417,0.199
TEAM0177,1,0.0
TEAM0178,2,1.0
TEAM0179,125,0.112
TEAM0180,24,0.625
TEAM0181,862,0.3817
TEAM0182,10,0.5
TEAM0184,7,0.5714
TEAM0185,37,0.2703
TEAM0186,113,0.7699
TEAM0187,275,0.1564
TEAM0188,207,0.4589
TEAM0189,5,0.6
TEAM0190,531,0.1412
TEAM0191,1511,0.2985
TEAM0192,474,0.2342
TEAM0193,10,0.5
TEAM0194,1,1.0
TEAM0196,1,1.0
TEAM0197,338,0.5178
TEAM0198,76,0.4737
TEAM0199,72,0.4167
TEAM0201,2,0.5
TEAM0202,27,0.5185
TEAM0203,4,1.0
TEAM0205,363,0.3196
TEAM0207,114,0.4912
TEAM0208,49,0.449
TEAM0209,10,0.4
TEAM0210,65,0.4923
TEAM0211,2,1.0
TEAM0212,55,0.6
TEAM0213,25,0.56
TEAM0214,1,0.0
TEAM0215,63,0.0159
TEAM0216,12,0.3333
TEAM0217,10,0.5
TEAM0218,2,0.5
TEAM0219,10,0.1
TEAM0221,9,0.2222
TEAM0222,3,0.3333
TEAM0225,1,1.0
TEAM0229,1,1.0
TEAM0234,1,1.0
TEAM0240,2,0.0
TEAM0241,1,0.0
TEAM9999,116,0.4052
unknown,4939,0.0865
