Config,Model,N_Feat,CV_AUC,Test_AUC,F1,Accuracy,Precision,Recall,Brier
A1_with_duration,LogisticRegression,20,0.9298,0.9378,0.5813,0.8543,0.4298,0.8976,0.1051
A1_with_duration,RandomForest,20,0.9429,0.9513,0.6626,0.906,0.5564,0.819,0.0624
A1_with_duration,XGBoost,20,0.9461,0.9537,0.6426,0.887,0.4991,0.9019,0.0784
A1_with_duration,LightGBM,20,0.9473,0.9533,0.6326,0.8796,0.4819,0.9203,0.0835
A1_with_duration,CatBoost,20,0.9486,0.9558,0.6233,0.8713,0.465,0.945,0.0883
A2_no_duration,LogisticRegression,19,0.7821,0.795,0.4358,0.8026,0.3214,0.6767,0.1678
A2_no_duration,RandomForest,19,0.7829,0.8082,0.5167,0.8874,0.5,0.5345,0.1083
A2_no_duration,XGBoost,19,0.7785,0.8061,0.4883,0.8512,0.3985,0.6304,0.1324
A2_no_duration,LightGBM,19,0.7889,0.8092,0.4939,0.8497,0.3979,0.6509,0.1413
A2_no_duration,CatBoost,19,0.7924,0.8125,0.4934,0.8472,0.3937,0.6606,0.1458
A3_tuned_no_duration,XGBoost_tuned,19,0.7981,0.8185,0.4949,0.8489,0.3969,0.6573,0.149
A4_ensemble_no_duration,"SoftVote(XGBtuned,LGBM,CatBoost)",19,,0.8147,0.5012,0.8521,0.4042,0.6595,0.1442
A5_no_duration_temporal,LogisticRegression,19,,0.6436,0.4666,0.4722,0.3389,0.7488,0.2735
A5_no_duration_temporal,RandomForest,19,,0.634,0.0116,0.6894,0.3061,0.0059,0.2092
A5_no_duration_temporal,XGBoost,19,,0.5789,0.1762,0.6821,0.4382,0.1102,0.2359
A5_no_duration_temporal,LightGBM,19,,0.6225,0.4111,0.6571,0.4369,0.3882,0.2328
A5_no_duration_temporal,CatBoost,19,,0.6308,0.4231,0.6544,0.4359,0.411,0.2173
