batch,policy,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size
0,Random,0,0.4076354214729845,0.5458748409479002,1.0583005244258363,0.34957074204685173,3.4903367196447936,,0.4076354214729845,0.5458748409479002,1.0583005244258363,0.34957074204685173,477.95152430555555,0.0,23,4.0,0.025,1.0,
0,RoundRobin,0,0.42253336973691996,0.5516057892767392,0.8,0.309088945862966,3.5688470352990533,,0.42253336973691996,0.5516057892767392,0.8,0.309088945862966,579.8758576388888,0.0,31,3.0,0.0,,
0,FIFO,0,0.223074322979362,0.6693496781610416,3.218695387886216,0.44386906037147505,3.798100852806855,,0.223074322979362,0.6693496781610416,3.218695387886216,0.44386906037147505,843.906309027778,0.0,4,17.0,0.125,0.6,
0,LeastLoaded,0,0.4018053413324352,0.5445722966138844,0.4898979485566356,0.4179824334119653,3.309237858779663,,0.4018053413324352,0.5445722966138844,0.4898979485566356,0.4179824334119653,405.40679166666666,0.0,38,2.0,0.075,0.0,
0,GreedyBestOutcome,0,0.6304905461709291,0.39301952395492057,2.0199009876724157,0.717180891546484,3.466186543224704,,0.6304905461709291,0.39301952395492057,2.0199009876724157,0.717180891546484,282.68756249999996,0.0,11,10.0,0.1,0.5,
0,StandardNSGA2,0,0.5054029252958498,0.4369217204999538,1.131370849898476,0.7040209143666061,2.2872061931762255,0.0791483888654297,0.5054029252958498,0.4369217204999538,1.131370849898476,0.7040209143666061,112.04659027777777,0.0,22,5.0,0.125,1.0,60.0
0,StandardNSGA2,1,0.5251489435476725,0.3956006411756699,1.3564659966250536,0.8310281826773245,2.581103338001109,0.06808082324824914,0.5251489435476725,0.3956006411756699,1.3564659966250536,0.8310281826773245,166.48827083333336,0.0,22,7.0,0.15,0.5,60.0
0,StandardNSGA2,2,0.5815484944440124,0.4319995661782384,1.4282856857085702,0.8281025159816151,2.4749372058326573,0.07752959567711283,0.5815484944440124,0.4319995661782384,1.4282856857085702,0.8281025159816151,148.0677048611111,0.0,18,7.0,0.075,0.6666666666666666,60.0
0,StandardNSGA2,3,0.5799165244980651,0.4052998984546482,1.4560219778561037,0.7397625734043416,2.1332948012688897,0.08329104431863182,0.5799165244980651,0.4052998984546482,1.4560219778561037,0.7397625734043416,128.69964583333334,0.0,22,7.0,0.15,0.6666666666666666,60.0
0,StandardNSGA2,4,0.475258551328662,0.47006032505319106,1.0392304845413265,0.7060353588856826,2.651527449028213,0.05875533977440918,0.475258551328662,0.47006032505319106,1.0392304845413265,0.7060353588856826,318.02234027777774,0.0,25,5.0,0.05,0.5,60.0
