policy,batch,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size
Random,2.0,0.0,0.5003,0.3996,0.9307,0.3743,3.3005,,0.5003,0.3996,0.9307,0.3743,423.3348,0.0,26.4,3.6,0.03,0.5833,
RoundRobin,2.0,0.0,0.4893,0.4198,0.8171,0.347,3.4275,,0.4893,0.4198,0.8171,0.347,491.4684,0.0,30.2,3.2,0.03,0.2778,
FIFO,2.0,0.0,0.2989,0.5128,3.2703,0.3738,3.6746,,0.2989,0.5128,3.2703,0.3738,811.4443,0.0,4.6,17.0,0.075,0.2367,
LeastLoaded,2.0,0.0,0.4738,0.4224,0.4454,0.4377,3.3204,,0.4738,0.4224,0.4454,0.4377,419.6621,0.0,39.0,1.6,0.035,0.1111,
GreedyBestOutcome,2.0,0.0,0.6809,0.3122,2.2073,0.6618,3.2151,,0.6809,0.3122,2.2073,0.6618,271.7688,0.0,11.4,11.6,0.09,0.4833,
StandardNSGA2,2.0,14.5,0.5881,0.3242,1.1368,0.6932,2.5716,0.0871,0.5881,0.3242,1.1368,0.6932,237.2555,0.0,23.6667,5.1,0.0898,0.3888,60.0
NSGA3,2.0,14.5,0.6309,0.3034,1.2131,0.8043,2.1851,0.1327,0.6309,0.3034,1.2131,0.8043,154.7075,0.0,22.7867,5.78,0.0993,0.4049,19.2333
PAA-NSGA-II,2.0,14.5,0.6126,0.3095,1.4603,0.7866,2.4905,0.0922,0.6126,0.3095,1.4603,0.7866,218.0355,0.0,19.5333,7.2867,0.0972,0.4175,60.0
PAA-noPriority,2.0,14.5,0.5936,0.3242,1.1732,0.6944,2.6581,0.0819,0.5936,0.3242,1.1732,0.6944,249.9997,0.0,22.8667,5.2467,0.0842,0.4408,60.0
PAA-noAdaptive,2.0,14.5,0.6152,0.3068,1.4477,0.7658,2.4709,0.0944,0.6152,0.3068,1.4477,0.7658,218.1203,0.0,19.96,7.3933,0.0935,0.4047,60.0
PAA-noSLAMut,2.0,14.5,0.6105,0.313,1.4292,0.7908,2.5258,0.0931,0.6105,0.313,1.4292,0.7908,222.9213,0.0,19.84,7.0933,0.0977,0.4277,60.0
