policy,batch,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,workload_jain,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size
Random,2.0,0.0,0.5003,0.3996,0.9307,0.3743,3.3005,,0.5003,0.3996,0.9307,0.427,0.3743,423.3348,0.0,26.4,3.6,0.03,0.5833,
RoundRobin,2.0,0.0,0.4893,0.4198,0.8171,0.347,3.4275,,0.4893,0.4198,0.8171,0.4971,0.347,491.4684,0.0,30.2,3.2,0.03,0.2778,
FIFO,2.0,0.0,0.2989,0.5128,3.2703,0.3738,3.6746,,0.2989,0.5128,3.2703,0.0566,0.3738,811.4443,0.0,4.6,17.0,0.075,0.2367,
LeastLoaded,2.0,0.0,0.4738,0.4224,0.4454,0.4377,3.3204,,0.4738,0.4224,0.4454,0.7633,0.4377,419.6621,0.0,39.0,1.6,0.035,0.1111,
GreedyBestOutcome,2.0,0.0,0.6809,0.3122,2.2073,0.6618,3.2151,,0.6809,0.3122,2.2073,0.117,0.6618,271.7688,0.0,11.4,11.6,0.09,0.4833,
StandardNSGA2,2.0,14.5,0.59,0.3257,1.1415,0.6985,2.609,0.0675,0.59,0.3257,1.1415,0.3382,0.6985,239.8248,0.0,23.66,5.1467,0.0847,0.4265,60.0
NSGA3,2.0,14.5,0.6295,0.304,1.2172,0.7983,2.1088,0.1031,0.6295,0.304,1.2172,0.3073,0.7983,136.0066,0.0,22.9067,5.8133,0.0907,0.4183,18.9133
PAA-NSGA-II,2.0,14.5,0.6087,0.3099,1.4212,0.7919,2.5484,0.0616,0.6087,0.3099,1.4212,0.2444,0.7919,229.9325,0.0,19.8,7.0733,0.1005,0.4376,60.0
PAA-noPriority,2.0,14.5,0.5896,0.3257,1.1413,0.689,2.7213,0.0623,0.5896,0.3257,1.1413,0.3358,0.689,265.9222,0.0,23.2867,5.06,0.0905,0.4232,60.0
PAA-noAdaptive,2.0,14.5,0.6151,0.3066,1.4604,0.7648,2.4562,0.062,0.6151,0.3066,1.4604,0.2359,0.7648,217.6218,0.0,19.8667,7.6,0.0938,0.4327,60.0
PAA-noSLAMut,2.0,14.5,0.6136,0.3132,1.4292,0.797,2.5783,0.0623,0.6136,0.3132,1.4292,0.2439,0.797,227.8721,0.0,19.6667,7.08,0.0998,0.4532,60.0
PAA-AdaptMut,2.0,14.5,0.6148,0.3056,1.4611,0.7707,2.5253,0.0613,0.6148,0.3056,1.4611,0.2352,0.7707,226.7978,0.0,19.54,7.4533,0.0968,0.4111,60.0
NSGA3-PrioInit,2.0,14.5,0.6379,0.2952,1.4283,0.8086,2.0703,0.091,0.6379,0.2952,1.4283,0.2431,0.8086,134.3064,0.0,20.06,7.3333,0.0917,0.3883,17.6133
