policy,batch,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,workload_jain,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size,solve_seconds
Random,2.0,0.0,0.489,0.4351,0.7807,0.3562,0.4979,,0.489,0.4351,0.7807,0.2589,0.3562,1.3269,0.0,27.2,3.0,0.04,0.5417,,
RoundRobin,2.0,0.0,0.4592,0.451,1.1796,0.3449,0.5001,,0.4592,0.451,1.1796,0.1322,0.3449,1.4847,0.0,18.8,8.2,0.035,0.75,,
FIFO,2.0,0.0,0.45,0.5523,2.5554,0.4039,1.446,,0.45,0.5523,2.5554,0.0315,0.4039,8.1302,0.0,3.2,18.4,0.055,0.6,,
LeastLoaded,2.0,0.0,0.4473,0.4528,0.4984,0.3876,0.5246,,0.4473,0.4528,0.4984,0.4598,0.3876,1.2317,0.0,40.0,1.0,0.05,0.3667,,
GreedyBestOutcome,2.0,0.0,0.6998,0.2885,1.6501,0.7162,0.4125,,0.6998,0.2885,1.6501,0.0733,0.7162,1.7441,0.0,10.0,10.8,0.07,0.5,,
StandardNSGA2,2.0,14.5,0.6169,0.3146,1.0352,0.6988,0.3709,0.0695,0.6169,0.3146,1.0352,0.1716,0.6988,0.7163,0.0,23.4,6.8467,0.084,0.4686,60.0,1.2721
NSGA3,2.0,14.5,0.6455,0.2792,0.9978,0.7556,0.3212,0.0824,0.6455,0.2792,0.9978,0.1799,0.7556,0.4158,0.0,23.0667,6.22,0.108,0.4797,17.5733,1.3836
PAA-NSGA-II,2.0,14.5,0.6306,0.3014,1.2552,0.7478,0.3551,0.0762,0.6306,0.3014,1.2552,0.1207,0.7478,0.683,0.0,19.44,8.8867,0.077,0.4265,60.0,1.3474
PAA-noPriority,2.0,14.5,0.6156,0.3076,1.0467,0.6644,0.3672,0.0658,0.6156,0.3076,1.0467,0.168,0.6644,0.6882,0.0,23.0667,6.88,0.075,0.4557,60.0,1.4511
PAA-noAdaptive,2.0,14.5,0.6325,0.3028,1.2518,0.7594,0.353,0.0767,0.6325,0.3028,1.2518,0.1216,0.7594,0.6308,0.0,18.9467,8.6333,0.0737,0.4062,60.0,1.3468
PAA-noSLAMut,2.0,14.5,0.6303,0.2964,1.2414,0.7373,0.3568,0.0767,0.6303,0.2964,1.2414,0.1236,0.7373,0.6577,0.0,19.46,8.64,0.0775,0.4201,60.0,1.4935
PAA-AdaptMut,2.0,14.5,0.6337,0.3046,1.271,0.7657,0.3468,0.0766,0.6337,0.3046,1.271,0.1183,0.7657,0.6111,0.0,19.04,8.9933,0.0777,0.4407,60.0,1.3397
NSGA3-PrioInit,2.0,14.5,0.6595,0.2834,1.1679,0.7931,0.3181,0.085,0.6595,0.2834,1.1679,0.1375,0.7931,0.4644,0.0,19.7667,7.96,0.114,0.4098,16.8133,1.3059
