policy,batch,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size
Random,0.0,0.0,0.4076,0.5459,1.0583,0.3496,3.4903,,0.4076,0.5459,1.0583,0.3496,477.9515,0.0,23.0,4.0,0.025,1.0,
RoundRobin,0.0,0.0,0.4225,0.5516,0.8,0.3091,3.5688,,0.4225,0.5516,0.8,0.3091,579.8759,0.0,31.0,3.0,0.0,,
FIFO,0.0,0.0,0.2231,0.6693,3.2187,0.4439,3.7981,,0.2231,0.6693,3.2187,0.4439,843.9063,0.0,4.0,17.0,0.125,0.6,
LeastLoaded,0.0,0.0,0.4018,0.5446,0.4899,0.418,3.3092,,0.4018,0.5446,0.4899,0.418,405.4068,0.0,38.0,2.0,0.075,0.0,
GreedyBestOutcome,0.0,0.0,0.6305,0.393,2.0199,0.7172,3.4662,,0.6305,0.393,2.0199,0.7172,282.6876,0.0,11.0,10.0,0.1,0.5,
StandardNSGA2,0.0,0.0,0.4866,0.5168,0.9381,0.5755,2.8451,0.0139,0.4866,0.5168,0.9381,0.5755,251.1271,0.0,28.0,4.0,0.075,0.6667,30.0
NSGA3,0.0,0.0,0.4751,0.5393,1.0392,0.6237,2.4169,0.0165,0.4751,0.5393,1.0392,0.6237,127.4641,0.0,24.0,5.0,0.1,0.75,21.0
PAA-NSGA-II,0.0,0.0,0.5599,0.4105,1.51,0.7588,2.9184,0.0193,0.5599,0.4105,1.51,0.7588,231.3189,0.0,19.0,6.0,0.125,0.8,30.0
PAA-noPriority,0.0,0.0,0.4443,0.5093,0.8485,0.4759,2.6819,0.0133,0.4443,0.5093,0.8485,0.4759,309.1574,0.0,28.0,3.0,0.05,0.5,30.0
PAA-noAdaptive,0.0,0.0,0.5042,0.4411,1.2166,0.7048,2.789,0.0208,0.5042,0.4411,1.2166,0.7048,271.7217,0.0,24.0,5.0,0.075,0.6667,30.0
PAA-noSLAMut,0.0,0.0,0.5441,0.4022,1.2329,0.7234,2.9148,0.0246,0.5441,0.4022,1.2329,0.7234,251.7348,0.0,23.0,5.0,0.15,0.6667,30.0
