policy,batch,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,workload_jain,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size,solve_seconds
Random,0.5,0.0,0.4946,0.4405,0.8137,0.3528,0.5435,,0.4946,0.4405,0.8137,0.242,0.3528,2.2937,0.0,25.5,3.0,0.0125,1.0,,
RoundRobin,0.5,0.0,0.4622,0.4539,1.2105,0.3622,0.4687,,0.4622,0.4539,1.2105,0.1263,0.3622,1.3777,0.0,17.5,8.5,0.025,1.0,,
FIFO,0.5,0.0,0.4345,0.544,2.4626,0.3579,1.3958,,0.4345,0.544,2.4626,0.0337,0.3579,8.049,0.0,3.0,16.0,0.05,0.3333,,
LeastLoaded,0.5,0.0,0.4531,0.4626,0.4984,0.3857,0.509,,0.4531,0.4626,0.4984,0.4598,0.3857,1.2084,0.0,40.0,1.0,0.05,0.5,,
GreedyBestOutcome,0.5,0.0,0.7123,0.3178,1.5022,0.6939,0.4623,,0.7123,0.3178,1.5022,0.086,0.6939,3.6042,0.0,11.5,9.0,0.1,0.5,,
StandardNSGA2,0.5,4.5,0.6292,0.3406,1.0534,0.7081,0.3805,0.0539,0.6292,0.3406,1.0534,0.1683,0.7081,0.8993,0.0,23.9,7.4,0.0925,0.5938,60.0,0.8863
NSGA3,0.5,4.5,0.6611,0.3023,0.9871,0.754,0.3237,0.065,0.6611,0.3023,0.9871,0.1811,0.754,0.4381,0.0,22.65,5.85,0.16,0.6452,17.95,0.9942
PAA-NSGA-II,0.5,4.5,0.6422,0.331,1.2561,0.7663,0.3621,0.0559,0.6422,0.331,1.2561,0.1208,0.7663,0.9932,0.0,19.85,9.25,0.1,0.5824,60.0,0.9582
PAA-noPriority,0.5,4.5,0.6221,0.3308,1.0553,0.6141,0.3811,0.0464,0.6221,0.3308,1.0553,0.1669,0.6141,1.1275,0.0,23.4,7.05,0.0838,0.616,60.0,0.9555
PAA-noAdaptive,0.5,4.5,0.6518,0.3212,1.2706,0.7544,0.3642,0.0576,0.6518,0.3212,1.2706,0.117,0.7544,0.6955,0.0,19.25,9.3,0.0863,0.6439,60.0,0.9074
PAA-noSLAMut,0.5,4.5,0.6395,0.327,1.1967,0.7172,0.3553,0.0569,0.6395,0.327,1.1967,0.1322,0.7172,0.9629,0.0,20.55,8.6,0.1025,0.5573,60.0,0.9755
PAA-AdaptMut,0.5,4.5,0.6456,0.3418,1.2313,0.7569,0.351,0.0571,0.6456,0.3418,1.2313,0.1238,0.7569,0.8064,0.0,19.8,8.85,0.095,0.5527,60.0,0.9174
NSGA3-PrioInit,0.5,4.5,0.6742,0.3132,1.1811,0.8041,0.309,0.0657,0.6742,0.3132,1.1811,0.1338,0.8041,0.5374,0.0,19.65,8.45,0.15,0.6183,17.55,1.0128
