Config,Model,Num_Features,CV_AUC_mean,CV_AUC_std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,Test_Brier
contaminated_v1,XGBoost,20,0.9064,0.0012,0.8298,0.7362,0.8364,0.7832,0.9099,0.12
contaminated_v1,LightGBM,20,0.9056,0.0013,0.8292,0.7337,0.84,0.7832,0.9085,0.1211
contaminated_v1,CatBoost,20,0.8999,0.0016,0.8232,0.7254,0.8347,0.7762,0.9033,0.125
contaminated_v1,RandomForest,20,0.8991,0.002,0.8236,0.7314,0.8216,0.7739,0.9036,0.1246
leakfree,XGBoost,17,0.8272,0.005,0.7473,0.6329,0.7436,0.6838,0.8319,0.1665
leakfree,LightGBM,17,0.8249,0.0047,0.7432,0.6263,0.7456,0.6808,0.8287,0.1683
leakfree,CatBoost,17,0.819,0.0051,0.733,0.611,0.7518,0.6741,0.8205,0.1731
leakfree,RandomForest,17,0.8218,0.0056,0.7426,0.6293,0.7284,0.6752,0.8258,0.1687
leakfree_temporal,XGBoost,17,,,0.696,0.4965,0.8101,0.6157,0.8074,0.1714
leakfree_temporal,LightGBM,17,,,0.6899,0.4908,0.838,0.619,0.8061,0.1724
leakfree_temporal,CatBoost,17,,,0.7221,0.5264,0.7548,0.6202,0.8076,0.1742
leakfree_temporal,RandomForest,17,,,0.7164,0.5189,0.7805,0.6233,0.8021,0.1709
