Feature,Mean_Abs_SHAP
Group_Breach_Rate_TE,0.6372439903058532
Assignment_Delay_Hours,0.505395511553798
Group_Volume_TE,0.179642541588198
WBS_Encoded,0.15814899241963665
Priority,0.14755421791115747
Queue_Length_At_Open,0.12639774582642319
CI_Type_Encoded,0.10282675873884034
CI_Subtype_Encoded,0.09389649660913789
Open_Month,0.06663975631223837
Open_Hour,0.051913222026732424
Impact,0.03823484923032027
Urgency,0.038047377527363105
Open_DayOfWeek,0.037172710031557546
Category_Encoded,0.019670195441777904
Is_Business_Hours,0.01058047409444751
Is_Weekend,0.0024957026372522855
Alert_Status_Encoded,0.0
