Config,Model,Num_Features,CV_AUC_mean,CV_AUC_std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,Test_Brier
contaminated_v1,XGBoost,20,0.9074,0.0024,0.8277,0.7326,0.8363,0.781,0.905,0.1231
contaminated_v1,LightGBM,20,0.9057,0.0022,0.8266,0.7291,0.8401,0.7807,0.9048,0.1235
contaminated_v1,CatBoost,20,0.9009,0.0017,0.8193,0.72,0.8316,0.7718,0.8989,0.1281
contaminated_v1,RandomForest,20,0.9,0.0016,0.8213,0.729,0.8172,0.7706,0.8994,0.1268
leakfree,XGBoost,17,0.8269,0.0041,0.7433,0.628,0.7389,0.679,0.8258,0.1694
leakfree,LightGBM,17,0.8243,0.0047,0.7397,0.6214,0.7459,0.678,0.8239,0.1709
leakfree,CatBoost,17,0.8188,0.0045,0.7311,0.6085,0.7512,0.6724,0.8166,0.175
leakfree,RandomForest,17,0.8221,0.0048,0.7389,0.6239,0.7282,0.672,0.8212,0.1707
leakfree_temporal,XGBoost,17,,,0.696,0.4965,0.8101,0.6157,0.8074,0.1714
leakfree_temporal,LightGBM,17,,,0.6899,0.4908,0.838,0.619,0.8061,0.1724
leakfree_temporal,CatBoost,17,,,0.7221,0.5264,0.7548,0.6202,0.8076,0.1742
leakfree_temporal,RandomForest,17,,,0.7164,0.5189,0.7805,0.6233,0.8021,0.1709
