Config,Model,Num_Features,CV_AUC_mean,Test_AUC,Test_F1,Test_Accuracy,Test_Precision,Test_Recall
contaminated,XGBoost,19,0.8899641940451746,0.8961897490361062,0.49747474747474746,0.8703019769715403,0.3890717577353522,0.6896149358226371
contaminated,LightGBM,19,0.8936034394250513,0.8959616597576021,0.48632218844984804,0.8531392570063002,0.36056338028169016,0.7467911318553092
contaminated,CatBoost,19,0.8955131545174538,0.8987564522222143,0.46659815005138744,0.8308711709754508,0.33026188166828324,0.79463243873979
contaminated,RandomForest,19,0.8837995379876797,0.8854279042913907,0.4901315789473684,0.8989789267868781,0.4622543950361944,0.5215869311551925
admissible,XGBoost,12,0.6604715092402464,0.6664213868359223,0.26174227217984747,0.8002389745817945,0.19951040391676866,0.38039673278879815
admissible,LightGBM,12,0.6655658367556468,0.6695312695446447,0.26077428780131484,0.7801433847490767,0.189792663476874,0.41656942823803966
admissible,CatBoost,12,0.6810162345995892,0.6783160610211496,0.2701051917203936,0.7663480338909406,0.19043062200956937,0.4644107351225204
admissible,RandomForest,12,0.6605037217659138,0.6572646924365623,0.24231678486997635,0.860742993699761,0.24550898203592814,0.23920653442240372
chronological,XGBoost,12,,0.6384971727184084,0.16839378238341968,0.895405669599218,0.22033898305084745,0.13626834381551362
chronological,LightGBM,12,,0.6560946814368939,0.2554814108674929,0.8727598566308243,0.23426573426573427,0.2809224318658281
chronological,CatBoost,12,,0.6515622170450139,0.25901639344262295,0.8527207559465624,0.2126514131897712,0.3312368972746331
chronological,RandomForest,12,,0.6331884974134326,0.1983695652173913,0.9038774845226458,0.28185328185328185,0.1530398322851153
