bin,mean_predicted_raw,observed_raw,mean_predicted_isotonic,observed_isotonic
1,0.04529801732377869,0.024303073624017155,0.02063491657180604,0.025087108013937282
2,0.105731850215507,0.0736766809728183,0.07609109448896724,0.07692307692307693
3,0.1980027258822505,0.11587982832618025,0.1333643269155167,0.11618900077459333
4,0.29854044063451124,0.20028612303290416,0.22007658517975248,0.22048125349748182
5,0.39804953485940486,0.29756795422031473,0.29315639439625857,0.31527093596059114
6,0.4853718623582897,0.3805436337625179,0.3768871075535033,0.38142153413089375
7,0.5802829536330888,0.4670958512160229,0.48133846020494153,0.4880860876249039
8,0.6823300499261193,0.5550786838340487,0.5741818029241412,0.5659140568099054
9,0.7854986376260995,0.6895565092989986,0.7089906344753103,0.7013157894736842
10,0.9067683370305948,0.8691922802001429,0.8873472969381356,0.8903170522707797
