Config,Model,Fold,AUC,F1,Accuracy,Brier
contaminated_v1,XGBoost,1,0.9044722003926098,0.7783484788621098,0.8280459770114943,0.1228565264160237
contaminated_v1,XGBoost,2,0.9087858227985239,0.7779074290159471,0.8249808429118773,0.12232931209423188
contaminated_v1,XGBoost,3,0.9091562693030371,0.7814026176987693,0.8285057471264368,0.12067113313298826
contaminated_v1,XGBoost,4,0.9044621061750202,0.7759392641619622,0.8235744941753526,0.12405376045626236
contaminated_v1,XGBoost,5,0.909909547907342,0.7754220651747153,0.8246474555487431,0.12015060380016514
contaminated_v1,LightGBM,1,0.9025501838538483,0.7701985453115785,0.8208429118773947,0.12436538551300035
contaminated_v1,LightGBM,2,0.9067934158654389,0.773881030807983,0.8211494252873563,0.12382217724323194
contaminated_v1,LightGBM,3,0.9063674857622415,0.7775605942142298,0.8255938697318007,0.12238720212622708
contaminated_v1,LightGBM,4,0.9038139207302868,0.7768498737618955,0.8238810545677498,0.12494422459221873
contaminated_v1,LightGBM,5,0.9087404203157994,0.779296875,0.8267933782955242,0.12125006673625344
contaminated_v1,CatBoost,1,0.8991252085940759,0.7657745653447939,0.8162452107279693,0.12745554299065312
contaminated_v1,CatBoost,2,0.9011238309029699,0.766524932354078,0.8148659003831418,0.12802964769237213
contaminated_v1,CatBoost,3,0.9015531466173803,0.76797829036635,0.8165517241379311,0.12667923798939973
contaminated_v1,CatBoost,4,0.8992614062843757,0.7722619277573884,0.8192826486817903,0.1280709128793203
contaminated_v1,CatBoost,5,0.9036213488328789,0.7695906432748538,0.8188228080931944,0.1250355554425935
contaminated_v1,RandomForest,1,0.8986494544213859,0.7643438554695255,0.8180842911877395,0.12684184578275526
contaminated_v1,RandomForest,2,0.8997598843677335,0.7693817468105987,0.8199233716475096,0.1274430536206345
contaminated_v1,RandomForest,3,0.9001400329222898,0.7641955835962145,0.8167049808429119,0.12644738747016068
contaminated_v1,RandomForest,4,0.8985204062649637,0.7705371248025277,0.8218884120171673,0.12728631679369537
contaminated_v1,RandomForest,5,0.9030213439200262,0.7722222222222223,0.8240343347639485,0.12454145871508243
leakfree,XGBoost,1,0.8200804340373787,0.6756186456934586,0.7408429118773946,0.1715659232490201
leakfree,XGBoost,2,0.8269246744962211,0.6843702579666161,0.7449808429118774,0.16962897914787972
leakfree,XGBoost,3,0.8275951265794128,0.6780715396578538,0.7462068965517241,0.1670678618994601
leakfree,XGBoost,4,0.8269852410671533,0.6809148856392951,0.7391171060698958,0.17042852795340135
leakfree,XGBoost,5,0.8330558986634109,0.6948893974065599,0.7547516860821581,0.16569369738232037
leakfree,LightGBM,1,0.8171595611277662,0.6699865926067803,0.7359386973180077,0.17341820691248178
leakfree,LightGBM,2,0.8226851312849072,0.6835634575373558,0.7436015325670499,0.17212197425270623
leakfree,LightGBM,3,0.823755085491231,0.6719352351580571,0.7391570881226054,0.16935347871344097
leakfree,LightGBM,4,0.8262145161185956,0.6836010459469556,0.740343347639485,0.17147960484776467
leakfree,LightGBM,5,0.8315015771167801,0.6878447783907171,0.7484671980380135,0.16700613398762357
leakfree,CatBoost,1,0.8120980218328467,0.6671669793621013,0.7281226053639847,0.1770977665016166
leakfree,CatBoost,2,0.8172262627218131,0.6747346862781605,0.7322605363984674,0.17554174117601484
leakfree,CatBoost,3,0.8207080353995467,0.6720754716981132,0.733639846743295,0.17212823638031563
leakfree,CatBoost,4,0.8179577093120316,0.6737614678899082,0.7274678111587983,0.1763380932122725
leakfree,CatBoost,5,0.8258475505333933,0.6851678229889369,0.7426425505824648,0.1707259588371122
leakfree,RandomForest,1,0.8144187825220803,0.6729620350741954,0.7399233716475095,0.17334382168557685
leakfree,RandomForest,2,0.8205865071164538,0.6774193548387096,0.7425287356321839,0.17125389694867293
leakfree,RandomForest,3,0.8251486940232137,0.6756282875511397,0.7448275862068966,0.1678828678431391
leakfree,RandomForest,4,0.8215916324526666,0.6803107826416525,0.7414163090128756,0.17175708607862167
leakfree,RandomForest,5,0.8288016308245738,0.6851959081258444,0.75,0.1670965511820856
