policy,hypervolume,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,workload_jain,first_time_right,sla_breach_rate,expertise_match,matched_fraction,matched_real_breach_rate,capacity_violation
Random,,0.488983543892681,0.43509841767512836,0.7806643073498096,0.3561640746977009,0.25889214636946034,0.488983543892681,0.43509841767512836,0.3561640746977009,0.04,0.5416666666666666,0.0
RoundRobin,,0.4592303703302621,0.45099419240372846,1.1796222776292415,0.3449116566735776,0.13222097656164794,0.4592303703302621,0.45099419240372846,0.3449116566735776,0.035,0.75,0.0
FIFO,,0.45004740415285216,0.5523442943015326,2.5554195531286035,0.40392111567423833,0.031460237930973745,0.45004740415285216,0.5523442943015326,0.40392111567423833,0.05499999999999999,0.6,0.0
LeastLoaded,,0.4473117244616393,0.452833193493236,0.4983789284753747,0.3875764026724462,0.45977011494252873,0.4473117244616393,0.452833193493236,0.3875764026724462,0.05,0.36666666666666664,0.0
GreedyBestOutcome,,0.6998104885415116,0.2885463819427801,1.6500535780405403,0.71619683736177,0.07327856863509405,0.6998104885415116,0.2885463819427801,0.71619683736177,0.06999999999999999,0.5,0.0
StandardNSGA2,0.06951111370274989,0.6169332775666279,0.31464917875621756,1.0351858775239575,0.6987713523615984,0.1715967385975113,0.6169332775666279,0.31464917875621756,0.6987713523615984,0.08399999999999999,0.46864252645502646,0.0
NSGA3,0.08242921376947762,0.6455446710189756,0.2792071887604299,0.9977616863325998,0.7556367096749115,0.17989059637404411,0.6455446710189756,0.2792071887604299,0.7556367096749115,0.108,0.47974858847342067,0.0
PAA-NSGA-II,0.07617442270754396,0.6306038873115051,0.3014271268233584,1.255242441131699,0.7477515833185863,0.12065141444703029,0.6306038873115051,0.3014271268233584,0.7477515833185863,0.077,0.4265003261578604,0.0
PAA-noPriority,0.06578781566128529,0.6156385465392566,0.30758363223499435,1.0466715299142448,0.6644467990009892,0.16796576917870423,0.6156385465392566,0.30758363223499435,0.6644467990009892,0.075,0.4557208994708995,0.0
PAA-noAdaptive,0.07666717226715049,0.6325265301540886,0.3027800243523879,1.2517997777336602,0.7594196092340944,0.12159505299975198,0.6325265301540886,0.3027800243523879,0.7594196092340944,0.07366666666666667,0.4062358276643991,0.0
PAA-noSLAMut,0.07674191877219365,0.6302896867007917,0.2964186736943793,1.241425396886021,0.7373491716577537,0.12363301766003908,0.6302896867007917,0.2964186736943793,0.7373491716577537,0.0775,0.4201058201058201,0.0
PAA-AdaptMut,0.07658691487290092,0.6336781300522232,0.3046039870538603,1.2709621977144472,0.7657117460328812,0.11828061189378332,0.6336781300522232,0.3046039870538603,0.7657117460328812,0.07766666666666668,0.44067460317460316,0.0
NSGA3-PrioInit,0.08497291463725154,0.6595079341385202,0.28336530601731835,1.1678627063132332,0.7930815627734467,0.13752428078725268,0.6595079341385202,0.28336530601731835,0.7930815627734467,0.114,0.40980534105534105,0.0
