Config,Model,Num_Features,CV_AUC_mean,Test_AUC,Test_F1,Test_Accuracy,Test_Precision,Test_Recall
contaminated,XGBoost,19,0.9477564202064487,0.9478032473979068,0.7697327806684893,0.8788904865717334,0.6811300140471359,0.8848337388483374
contaminated,LightGBM,19,0.9472764837944606,0.9472522035534596,0.770189606741573,0.8785657961872072,0.6791021671826626,0.8894971613949716
contaminated,CatBoost,19,0.943424161273034,0.943563875454238,0.7535934291581109,0.8664130989377986,0.6518650088809946,0.8929440389294404
contaminated,RandomForest,19,0.9410551911460479,0.9407713838253778,0.7561831257674092,0.8710515330024584,0.666306027820711,0.8740875912408759
admissible,XGBoost,12,0.9034035121311129,0.9042148232501381,0.7153414655863236,0.8517092629528271,0.6377202730592157,0.8144768856447688
admissible,LightGBM,12,0.9029004622961004,0.9043491209809272,0.7147674831380901,0.8509207291618349,0.6355744949494949,0.8165044606650446
admissible,CatBoost,12,0.8995748854496564,0.9016093155725224,0.7027402011793271,0.840994480263463,0.6139393939393939,0.8215733982157339
admissible,RandomForest,12,0.8985499762563185,0.8987356331426459,0.7030740773363868,0.8436383876803192,0.6215542750350412,0.8092051905920519
chronological,XGBoost,12,,0.8987311362481994,0.6776546091015169,0.8462394767967717,0.5724494825036964,0.8302358827734095
chronological,LightGBM,12,,0.8987456174342364,0.6795636363636364,0.846726501078411,0.5729703213146922,0.8348820586132952
chronological,CatBoost,12,,0.8975759606136441,0.6686550205936657,0.8376817644193975,0.5547961348102758,0.8413152251608291
chronological,RandomForest,12,,0.893230848322699,0.6694021101992966,0.8430390315174285,0.5673124689518132,0.8162973552537527
