Config,Model,Num_Features,CV_AUC_mean,Test_AUC,Test_F1,Test_Accuracy,Test_Precision,Test_Recall
contaminated,XGBoost,36,0.8273578258247911,0.8152709359605912,0.5802469135802469,0.7647058823529411,0.618421052631579,0.5465116279069767
contaminated,LightGBM,36,0.808952378901427,0.8226028181922327,0.6181818181818182,0.7820069204152249,0.6455696202531646,0.5930232558139535
contaminated,CatBoost,36,0.8304545611163752,0.8239775461106655,0.6081871345029239,0.7681660899653979,0.611764705882353,0.6046511627906976
contaminated,RandomForest,36,0.8397843483504179,0.8299347004238744,0.5324675324675324,0.7508650519031141,0.6029411764705882,0.47674418604651164
admissible,XGBoost,33,0.5964298389180808,0.6045938824607631,0.367816091954023,0.6193771626297578,0.36363636363636365,0.37209302325581395
admissible,LightGBM,33,0.5879440089585666,0.5981784855080765,0.33513513513513515,0.5743944636678201,0.31313131313131315,0.36046511627906974
admissible,CatBoost,33,0.6149451000660406,0.6130140909611639,0.42162162162162165,0.629757785467128,0.3939393939393939,0.45348837209302323
admissible,RandomForest,33,0.6338068165503776,0.6032764348722649,0.3120567375886525,0.6643598615916955,0.4,0.2558139534883721
chronological,XGBoost,33,,0.5780510879848628,0.17857142857142858,0.7616580310880829,0.35714285714285715,0.11904761904761904
chronological,LightGBM,33,,0.5600756859035005,0.17543859649122806,0.7564766839378239,0.3333333333333333,0.11904761904761904
chronological,CatBoost,33,,0.6067486597287922,0.26229508196721313,0.7668393782383419,0.42105263157894735,0.19047619047619047
chronological,RandomForest,33,,0.5983916745506149,0.0,0.7823834196891192,0.0,0.0
