Config,Model,Num_Features,CV_AUC_mean,Test_AUC,Test_F1,Test_Accuracy,Test_Precision,Test_Recall
contaminated,XGBoost,18,0.9790367661773761,0.9789228368406153,0.9440249507550886,0.9490880135367159,0.9170298713723822,0.9726575713158191
contaminated,LightGBM,18,0.978957240201621,0.9788459672470111,0.9435799261588951,0.9486649911662975,0.9162904339512402,0.9725448190325854
contaminated,CatBoost,18,0.9788378158518034,0.9788347103511674,0.9434230296407594,0.9484659218155125,0.9151958445963853,0.9734468372984553
contaminated,RandomForest,18,0.9789985358462163,0.9787798083418116,0.9429562273012753,0.948018015776246,0.9143674204310756,0.9733904611568385
admissible,XGBoost,13,0.6460040125677624,0.6463516487210024,0.5509686866411354,0.6032050165476398,0.5504107122763587,0.5515277934378171
admissible,LightGBM,13,0.6453763736946556,0.6447262031871281,0.5440415988114625,0.602881528852614,0.5515263859120663,0.5367572443341978
admissible,CatBoost,13,0.641786939329635,0.6415070737680545,0.5401548416917032,0.6039017592753876,0.5539163407986728,0.5270605479760965
admissible,RandomForest,13,0.6430286978318976,0.6430297996564855,0.5290322580645161,0.6112673252544355,0.5685588387765682,0.49464426654639754
chronological,XGBoost,13,,0.5662457925818805,0.5199038204648677,0.530494177366378,0.45769773536724684,0.601678445229682
chronological,LightGBM,13,,0.5580596579801287,0.5197343596709683,0.5249328157659002,0.4536292978527203,0.6083922261484099
chronological,CatBoost,13,,0.5872767481939334,0.40816326530612246,0.6016721409375934,0.5482717520858165,0.3250883392226148
chronological,RandomForest,13,,0.5722483748140949,0.47574512717419803,0.552254404299791,0.4707663034077149,0.4808303886925795
