Feature,Gain
Trailing_Window_N,0.11736686
Group_BreachRate_Causal,0.096802324
Is_Weekend,0.069448136
CIName_BreachRate_Causal,0.06442064
Assignment_Delay_Hours,0.055857334
Is_Business_Hours,0.04065029
WBS_BreachRate_Causal,0.03629485
Priority,0.03379568
Urgency,0.032960437
Impact,0.03253958
Category_Encoded,0.029902874
Group_PriorCount,0.029855242
CI_Subtype_Encoded,0.02939277
CI_Type_Encoded,0.028706143
WBS_Encoded,0.02581548
CIName_PriorCount,0.025010347
CI_Incidents_30d,0.024873624
Queue_Length_At_Open,0.024614826
Group_Open_Load,0.024251014
CIType_BreachRate_Causal,0.023162093
Category_BreachRate_Causal,0.022775302
Open_Year,0.022639541
Open_Hour,0.022218864
Open_DayOfWeek,0.022203548
Open_Month,0.02195849
CI_Days_Since_Prev,0.021317136
Trailing_Breach_Rate_500,0.021166516
Alert_Status_Encoded,0.0
