policy,batch,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,workload_jain,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size
Random,2.0,0.0,0.5003,0.3996,0.9307,0.3743,3.3005,,0.5003,0.3996,0.9307,0.427,0.3743,423.3348,0.0,26.4,3.6,0.03,0.5833,
RoundRobin,2.0,0.0,0.4893,0.4198,0.8171,0.347,3.4275,,0.4893,0.4198,0.8171,0.4971,0.347,491.4684,0.0,30.2,3.2,0.03,0.2778,
FIFO,2.0,0.0,0.2989,0.5128,3.2703,0.3738,3.6746,,0.2989,0.5128,3.2703,0.0566,0.3738,811.4443,0.0,4.6,17.0,0.075,0.2367,
LeastLoaded,2.0,0.0,0.4738,0.4224,0.4454,0.4377,3.3204,,0.4738,0.4224,0.4454,0.7633,0.4377,419.6621,0.0,39.0,1.6,0.035,0.1111,
GreedyBestOutcome,2.0,0.0,0.6809,0.3122,2.2073,0.6618,3.2151,,0.6809,0.3122,2.2073,0.117,0.6618,271.7688,0.0,11.4,11.6,0.09,0.4833,
StandardNSGA2,2.0,14.5,0.5893,0.3239,1.1424,0.7018,2.6182,0.4307,0.5893,0.3239,1.1424,0.3387,0.7018,230.559,0.0,23.7267,5.2,0.0917,0.4309,60.0
NSGA3,2.0,14.5,0.6323,0.3035,1.2177,0.7981,2.1145,0.5279,0.6323,0.3035,1.2177,0.3078,0.7981,133.7972,0.0,22.72,5.7067,0.097,0.3807,18.7667
PAA-NSGA-II,2.0,14.5,0.6117,0.3104,1.4391,0.7917,2.5021,0.4844,0.6117,0.3104,1.4391,0.2409,0.7917,221.4393,0.0,19.7267,7.2067,0.0948,0.4566,60.0
PAA-noPriority,2.0,14.5,0.5887,0.3257,1.1423,0.6879,2.704,0.4133,0.5887,0.3257,1.1423,0.3353,0.6879,262.2432,0.0,23.2333,5.0467,0.0897,0.4202,60.0
PAA-noAdaptive,2.0,14.5,0.6155,0.3052,1.472,0.7777,2.4478,0.4842,0.6155,0.3052,1.472,0.2326,0.7777,212.3675,0.0,19.54,7.5067,0.096,0.4194,60.0
PAA-noSLAMut,2.0,14.5,0.6134,0.3145,1.4188,0.7928,2.5646,0.4835,0.6134,0.3145,1.4188,0.2459,0.7928,234.5702,0.0,19.8467,7.0,0.0992,0.4433,60.0
PAA-AdaptMut,2.0,14.5,0.6125,0.3063,1.4568,0.7728,2.4911,0.4828,0.6125,0.3063,1.4568,0.2365,0.7728,215.1578,0.0,19.8267,7.4533,0.0955,0.3977,60.0
NSGA3-PrioInit,2.0,14.5,0.639,0.2916,1.3949,0.8035,2.1526,0.5324,0.639,0.2916,1.3949,0.2534,0.8035,149.174,0.0,20.4,6.9467,0.0927,0.3957,18.2867
