policy,batch,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,workload_jain,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size,solve_seconds
Random,0.5,0.0,0.4713,0.4593,0.9982,0.3372,3.5544,,0.4713,0.4593,0.9982,0.3923,0.3372,548.759,0.0,24.5,3.5,0.025,0.5,,
RoundRobin,0.5,0.0,0.4723,0.4662,0.9196,0.3156,3.5146,,0.4723,0.4662,0.9196,0.436,0.3156,521.8978,0.0,28.0,3.5,0.025,0.5,,
FIFO,0.5,0.0,0.2895,0.5458,3.1936,0.3331,3.6739,,0.2895,0.5458,3.1936,0.0591,0.3331,818.0508,0.0,4.0,16.5,0.075,0.3,,
LeastLoaded,0.5,0.0,0.4334,0.4768,0.4899,0.3896,3.2459,,0.4334,0.4768,0.4899,0.7273,0.3896,396.4777,0.0,38.0,2.0,0.0375,0.0,,
GreedyBestOutcome,0.5,0.0,0.644,0.371,2.1932,0.6155,3.2274,,0.644,0.371,2.1932,0.1191,0.6155,230.5964,0.0,10.5,10.5,0.0875,0.25,,
StandardNSGA2,0.5,4.5,0.5569,0.3823,1.1787,0.6597,2.5068,0.3347,0.5569,0.3823,1.1787,0.3224,0.6597,221.6203,0.0,22.8,5.35,0.1062,0.3338,60.0,4.4772
NSGA3,0.5,4.5,0.5993,0.3612,1.2655,0.7753,1.9119,0.4328,0.5993,0.3612,1.2655,0.2884,0.7753,103.0004,0.0,21.75,5.85,0.1288,0.3567,18.35,5.0683
PAA-NSGA-II,0.5,4.5,0.5881,0.3649,1.3837,0.7631,2.5351,0.3886,0.5881,0.3649,1.3837,0.2528,0.7631,225.8553,0.0,19.45,6.55,0.1112,0.4065,60.0,4.8359
PAA-noPriority,0.5,4.5,0.5591,0.3815,1.1486,0.6514,2.4367,0.3437,0.5591,0.3815,1.1486,0.3307,0.6514,222.433,0.0,22.8,4.95,0.1038,0.3918,60.0,4.4165
PAA-noAdaptive,0.5,4.5,0.5884,0.3597,1.4435,0.7588,2.5581,0.3834,0.5884,0.3597,1.4435,0.2394,0.7588,207.6862,0.0,19.25,7.05,0.1188,0.4129,60.0,4.2341
PAA-noSLAMut,0.5,4.5,0.5744,0.3688,1.382,0.7637,2.4708,0.3875,0.5744,0.3688,1.382,0.2568,0.7637,208.5754,0.0,19.8,6.75,0.105,0.439,60.0,4.4259
PAA-AdaptMut,0.5,4.5,0.5785,0.3571,1.4587,0.7602,2.4671,0.3878,0.5785,0.3571,1.4587,0.2345,0.7602,200.6285,0.0,19.2,7.45,0.1075,0.367,60.0,4.2132
NSGA3-PrioInit,0.5,4.5,0.6011,0.3428,1.4796,0.7581,1.7937,0.4299,0.6011,0.3428,1.4796,0.229,0.7581,88.7235,0.0,18.5,7.45,0.1175,0.3738,16.15,4.7128
