Config,Model,Num_Features,CV_AUC_mean,CV_AUC_std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,Test_Brier
contaminated_v1,XGBoost,20,0.8833,0.0035,0.7927,0.687,0.7977,0.7382,0.8833,0.1377
contaminated_v1,LightGBM,20,0.881,0.0039,0.7927,0.6852,0.8034,0.7396,0.8822,0.139
contaminated_v1,CatBoost,20,0.8742,0.0029,0.7899,0.6843,0.7916,0.734,0.8773,0.1423
contaminated_v1,RandomForest,20,0.8744,0.0035,0.7915,0.6952,0.7671,0.7294,0.8763,0.1413
leakfree,XGBoost,17,0.7881,0.002,0.7193,0.6046,0.6754,0.6381,0.7877,0.1865
leakfree,LightGBM,17,0.7855,0.0026,0.7117,0.594,0.6737,0.6313,0.7819,0.1891
leakfree,CatBoost,17,0.7728,0.0016,0.7057,0.5863,0.668,0.6245,0.7704,0.1947
leakfree,RandomForest,17,0.7758,0.0025,0.7153,0.6088,0.6234,0.616,0.7753,0.1903
leakfree_temporal,XGBoost,17,,,0.4691,0.3553,0.8858,0.5072,0.6533,0.2037
leakfree_temporal,LightGBM,17,,,0.4854,0.3589,0.85,0.5047,0.6456,0.2029
leakfree_temporal,CatBoost,17,,,0.4627,0.3448,0.8246,0.4863,0.6387,0.2025
leakfree_temporal,RandomForest,17,,,0.4595,0.3429,0.821,0.4837,0.631,0.2035
