Config,Model,Num_Features,CV_AUC_mean,CV_AUC_std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,Test_Brier
contaminated_v1,XGBoost,20,0.883,0.0019,0.7915,0.6873,0.7906,0.7353,0.8814,0.1386
contaminated_v1,LightGBM,20,0.8803,0.0017,0.7867,0.6804,0.7876,0.7301,0.8795,0.1403
contaminated_v1,CatBoost,20,0.8744,0.0028,0.7853,0.6796,0.7833,0.7277,0.8737,0.1438
contaminated_v1,RandomForest,20,0.8742,0.0035,0.7856,0.6872,0.7614,0.7224,0.872,0.143
leakfree,XGBoost,17,0.785,0.0058,0.7213,0.6074,0.6761,0.6399,0.7859,0.1861
leakfree,LightGBM,17,0.7823,0.0053,0.7166,0.602,0.6679,0.6333,0.7825,0.1881
leakfree,CatBoost,17,0.7707,0.0046,0.7015,0.5818,0.6589,0.6179,0.7701,0.1939
leakfree,RandomForest,17,0.7727,0.0071,0.7185,0.6155,0.617,0.6162,0.7727,0.19
leakfree_temporal,XGBoost,17,,,0.4691,0.3553,0.8858,0.5072,0.6533,0.2037
leakfree_temporal,LightGBM,17,,,0.4854,0.3589,0.85,0.5047,0.6456,0.2029
leakfree_temporal,CatBoost,17,,,0.4627,0.3448,0.8246,0.4863,0.6387,0.2025
leakfree_temporal,RandomForest,17,,,0.4595,0.3429,0.821,0.4837,0.631,0.2035
