Feature,Mean_Abs_SHAP
Group_Breach_Rate_TE,0.4365653812695874
WBS_Encoded,0.2858673037826903
Assignment_Delay_Hours,0.19616895177056143
Open_Month,0.17881769808287054
Group_Volume_TE,0.16833539199616188
Queue_Length_At_Open,0.15211315137813206
Priority,0.11681741574328874
CI_Type_Encoded,0.1054439438813054
CI_Subtype_Encoded,0.0878841090121685
Open_Hour,0.08301862120490958
Impact,0.06422623814770402
Open_DayOfWeek,0.036171703994409415
Urgency,0.03523104014114568
Category_Encoded,0.01665078208027516
Is_Business_Hours,0.008561332809998979
Is_Weekend,0.00320505820399638
Alert_Status_Encoded,0.0
