bin,mean_predicted_raw,observed_raw,mean_predicted_isotonic,observed_isotonic
1,0.0977136153600681,0.04477611940298507,0.057383800485024394,0.04536290322580645
2,0.19761679719898972,0.12593383137673425,0.11642946732074178,0.13005464480874318
3,0.26948395716533335,0.18676627534685167,0.18769060116193234,0.1855123674911661
4,0.33520103292887593,0.22411953041622198,0.2391521425270961,0.2437070938215103
5,0.3951931182004853,0.28281750266808964,0.2793995195358906,0.29044117647058826
6,0.46641098673722786,0.3617929562433298,0.382427975208206,0.36930860033726814
7,0.5507126584760408,0.4343649946638207,0.46437616620861893,0.45788667687595713
8,0.6483841904199492,0.5240128068303095,0.5519634289522752,0.5420962199312714
9,0.7500493748465368,0.6574172892209178,0.6962688427117542,0.6897253306205493
10,0.8742981763634127,0.8217716115261473,0.8384708910570999,0.8582317073170732
