Config,Model,Fold,AUC,F1,Accuracy,Brier
contaminated_v1,XGBoost,1,0.884884511466405,0.7426383981154299,0.8001372055796936,0.1354834433907416
contaminated_v1,XGBoost,2,0.8844307075556492,0.7408695652173913,0.7955636862565745,0.13687803240138216
contaminated_v1,XGBoost,3,0.8830117396559964,0.7479627473806753,0.8019666133089413,0.13755173296721335
contaminated_v1,XGBoost,4,0.879526831986902,0.7394080092861288,0.7946489823919506,0.13949041928307476
contaminated_v1,XGBoost,5,0.8832493677243255,0.7440372309482257,0.7987651497827578,0.137225482978134
contaminated_v1,LightGBM,1,0.8828276950816171,0.7416254005243228,0.7971644180196661,0.13731566570462092
contaminated_v1,LightGBM,2,0.8811630716025753,0.7443198159332758,0.7967070660873542,0.13956821699011512
contaminated_v1,LightGBM,3,0.8802342885179163,0.7421897810218978,0.79807912188429,0.13978499050579132
contaminated_v1,LightGBM,4,0.8777555437514727,0.7363821730265074,0.7930482506288589,0.14076439622646456
contaminated_v1,LightGBM,5,0.8797342978305569,0.7400522799883822,0.7953350102904185,0.13931725781467263
contaminated_v1,CatBoost,1,0.876337589561226,0.7347417840375586,0.7932769265950148,0.14113790145768054
contaminated_v1,CatBoost,2,0.8786227158311223,0.7393310265282583,0.7932769265950148,0.14152840841297828
contaminated_v1,CatBoost,3,0.8740219393747711,0.7404155692127597,0.7971644180196661,0.14346994804033134
contaminated_v1,CatBoost,4,0.8706718550566753,0.7312518237525533,0.7893894351703636,0.1450965998298922
contaminated_v1,CatBoost,5,0.8722591440687701,0.7347057118005219,0.7907614909672993,0.14427161267998034
contaminated_v1,RandomForest,1,0.8748620792035938,0.7382308845577211,0.8003658815458495,0.14095576045334585
contaminated_v1,RandomForest,2,0.8793352409091666,0.7398878063182758,0.7985364738166019,0.14026966207986635
contaminated_v1,RandomForest,3,0.8761409299364606,0.7367475292003594,0.7989938257489138,0.14122808922166313
contaminated_v1,RandomForest,4,0.8691881223894168,0.7246117084826762,0.7891607592042076,0.14421570363576483
contaminated_v1,RandomForest,5,0.8716915035211507,0.7328970850684117,0.7946489823919506,0.142584043254519
leakfree,XGBoost,1,0.7840444166913336,0.6360084159903817,0.7230734049851361,0.18786000223829127
leakfree,XGBoost,2,0.7869206481793104,0.6422018348623854,0.723530756917448,0.1868783545450987
leakfree,XGBoost,3,0.7937932600489013,0.6432432432432432,0.7283329522067231,0.1827212811622216
leakfree,XGBoost,4,0.7844248956217215,0.6449511400651465,0.7258175165790075,0.18630153518769146
leakfree,XGBoost,5,0.77586350952974,0.6379970544918998,0.7189572375943288,0.1883181874255367
leakfree,LightGBM,1,0.7785195877942179,0.6296296296296297,0.7164418019666133,0.19035177139094672
leakfree,LightGBM,2,0.7859448965588396,0.6428360413589365,0.723530756917448,0.18810982306119997
leakfree,LightGBM,3,0.7889932333770804,0.6378637863786378,0.7239881088497598,0.18507024227236013
leakfree,LightGBM,4,0.7839880995021109,0.6404261615862681,0.7221587011205123,0.18749255050463412
leakfree,LightGBM,5,0.7741417828935367,0.6279342723004695,0.7100388749142466,0.1903440740657071
leakfree,CatBoost,1,0.7671773058847859,0.6232695139911635,0.7075234392865309,0.19589278053504874
leakfree,CatBoost,2,0.7723118566605889,0.6310507674144038,0.7141550423050538,0.19400436555326844
leakfree,CatBoost,3,0.7781215379007925,0.6307922272047832,0.7175851817973931,0.19135421796888127
leakfree,CatBoost,4,0.7712719034444042,0.6219081272084805,0.7063800594557512,0.19339405628549003
leakfree,CatBoost,5,0.7646887266880015,0.6203459396071533,0.7038646238280357,0.19510139151423606
leakfree,RandomForest,1,0.7693635391704072,0.6153362664990571,0.7201006174251087,0.1911884529191026
leakfree,RandomForest,2,0.7784694654958098,0.6262626262626263,0.7292476560713469,0.18838740098836312
leakfree,RandomForest,3,0.7787616390734967,0.6164122137404581,0.7242167848159159,0.18775976501029062
leakfree,RandomForest,4,0.7767950428258434,0.6218170386670858,0.7249028127143837,0.1881390926162449
leakfree,RandomForest,5,0.7603411698732747,0.6233527428746553,0.7189572375943288,0.1924046593652723
