Threshold,Precision,Recall,F1,Accuracy,Flagged_fraction
0.05,0.3723000108542277,0.9991261287503641,0.5424640202435552,0.3825632269768435,0.9831394728417459
0.1,0.3830288084295483,0.9953393533352752,0.5531811559009228,0.4109486714331448,0.9519795112581368
0.15,0.3984512495600141,0.9892222545878241,0.5680829708932753,0.44893821363781883,0.9095080567708889
0.2,0.42028438404429347,0.9729099912612875,0.5869947275922671,0.49845267314054,0.848041831181304
0.25,0.4437131495955025,0.9426157879405768,0.603393622972217,0.5460463130935866,0.7782520542097962
0.3,0.4691320754716981,0.9053306146227789,0.6180155100417578,0.5900117383416924,0.7069683064774304
0.35,0.5027266530334015,0.8593067288086222,0.6343403935060746,0.6370718173087184,0.626187173193896
0.4,0.537810161480898,0.7955141275852025,0.6417577252966749,0.6746345107245758,0.5418845374026251
0.45,0.5766257389722601,0.7387124963588698,0.647682288341208,0.7055810479137765,0.4693202433038096
0.5,0.6074326092645904,0.6760850568016312,0.6399228012131238,0.7212677409027852,0.4077473055170206
0.55,0.6348724179829891,0.608796970579668,0.6215613382899629,0.7284174581154625,0.3512965531960303
0.6,0.671464555595538,0.5435479172735217,0.6007726980038635,0.7353537509337317,0.2965531960303063
0.65,0.7047906776003453,0.4756772502184678,0.568,0.7349269021449152,0.2472521609219934
0.7,0.7398286937901499,0.4025633556655986,0.5214110545180155,0.7292711556930958,0.19933838437733434
0.75,0.7669971671388102,0.3154675211185552,0.4470588235294118,0.7141180236901078,0.15067762245224628
0.8,0.8226652675760755,0.2283716865715118,0.35750113999088007,0.6992850282787323,0.10169672393554584
0.85,0.8539518900343642,0.14477133702301195,0.24757160647571608,0.6776224522462918,0.06210649877280973
0.9,0.919732441471572,0.0801048645499563,0.14737406216505894,0.6604417884964251,0.03190694696403799
0.95,0.9863013698630136,0.020972909991261286,0.04107244723331432,0.6412335929996799,0.007789990395902251
