policy,hypervolume,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,workload_jain,first_time_right,sla_breach_rate,expertise_match,matched_fraction,matched_real_breach_rate,capacity_violation
Random,,0.5002826402680276,0.3995886364359351,0.9307030288957312,0.37434060535169233,0.4270069112174375,0.5002826402680276,0.3995886364359351,0.37434060535169233,0.03,0.5833333333333334,0.0
RoundRobin,,0.4893336771292748,0.41976888056340983,0.8171213884981888,0.3469931050138704,0.49707298253134713,0.4893336771292748,0.41976888056340983,0.3469931050138704,0.03,0.27777777777777773,0.0
FIFO,,0.29891873192417157,0.5127925967938155,3.2703388569279923,0.37375260655357156,0.05658044262184766,0.29891873192417157,0.5127925967938155,0.37375260655357156,0.075,0.23666666666666666,0.0
LeastLoaded,,0.47379054291444467,0.42242305388127405,0.44540189852264583,0.4377098963311862,0.7632900432900434,0.47379054291444467,0.42242305388127405,0.4377098963311862,0.034999999999999996,0.1111111111111111,0.0
GreedyBestOutcome,,0.6809280786924408,0.31220854868563935,2.207318065624606,0.6618485841281332,0.11696624600880064,0.6809280786924408,0.31220854868563935,0.6618485841281332,0.09,0.4833333333333333,0.0
StandardNSGA2,0.43069137348083464,0.5892786904553659,0.32390899762818365,1.1423958550324775,0.7017767582808596,0.3387498669541022,0.5892786904553659,0.32390899762818365,0.7017767582808596,0.09166666666666666,0.43087899543378994,0.0
NSGA3,0.527885850252363,0.6322894147802646,0.30346734874233783,1.2177445912302176,0.7980934314792137,0.30780062048893686,0.6322894147802646,0.30346734874233783,0.7980934314792137,0.097,0.38071957671957674,0.0
PAA-NSGA-II,0.4844064214081138,0.6116517278424071,0.31035649994814635,1.4390780289337843,0.791665491275218,0.24092515852516164,0.6116517278424071,0.31035649994814635,0.791665491275218,0.09483333333333333,0.4565820105820106,0.0
PAA-noPriority,0.41332058466117544,0.5887081112299015,0.3256782713651888,1.142308283081875,0.6878817557878972,0.3352801768027338,0.5887081112299015,0.3256782713651888,0.6878817557878972,0.08966666666666666,0.4202301054650048,0.0
PAA-noAdaptive,0.48422587763459624,0.6154845656848398,0.3051836349206416,1.4720071045471266,0.777663563190005,0.23261818562209777,0.6154845656848398,0.3051836349206416,0.777663563190005,0.096,0.4193911792905081,0.0
PAA-noSLAMut,0.4834748230344625,0.6133546944518797,0.3144597553274402,1.4188340552519627,0.7928038379691562,0.24592367611555185,0.6133546944518797,0.3144597553274402,0.7928038379691562,0.09916666666666667,0.443272611057846,0.0
PAA-AdaptMut,0.48278566434083586,0.6125097271760775,0.3062709535130576,1.456820283772358,0.7727935424109673,0.23650672092778383,0.6125097271760775,0.3062709535130576,0.7727935424109673,0.0955,0.39771557271557273,0.0
NSGA3-PrioInit,0.5323789395663527,0.6390128853902499,0.29163927576771465,1.394879973271559,0.8034768156178481,0.253374640630984,0.6390128853902499,0.29163927576771465,0.8034768156178481,0.09266666666666667,0.3957174816235219,0.0
