p,mean,min,max,exact_zero_cells,floored
-4.0,0.09783023020088127,0.0012878882807909196,0.5645399712552964,0,True
-2.0,0.11849091716199896,0.001657513100010059,0.6613442325848866,0,True
-1.0,0.1412239080580861,0.0026782802645044694,0.7230392338123981,0,True
-0.5,0.1672159001390809,0.005512791008959856,0.7532116942577791,0,True
0.0,0.25984022924180994,0.025627159870074988,0.781310951139084,0,True
0.25,0.3173344880108119,0.039621078789001195,0.7944739664333784,0,False
0.5,0.3909112759397913,0.08339262640235,0.8068419964165905,0,False
1.0,0.4776893399030626,0.16627524175991445,0.8291054237905342,0,False
2.0,0.5759624794238677,0.2858512679375238,0.8642323870021139,0,False
4.0,0.6873159364100891,0.39053386004405594,0.9068981166943768,0,False
8.0,0.7920504660402014,0.46666167692457644,0.9473130327532505,0,False
