Feature,Gain
CIName_BreachRate_Causal,0.10115496
Group_BreachRate_Causal,0.060542442
WBS_BreachRate_Causal,0.053957876
Assignment_Delay_Hours,0.04165237
Urgency,0.03980201
CI_Type_Encoded,0.03948222
Is_Business_Hours,0.039255936
Priority,0.03581266
CI_Subtype_Encoded,0.03467858
Impact,0.03452405
CIName_PriorCount,0.0338193
Group_PriorCount,0.033642925
Open_Month,0.03293787
Group_Open_Load,0.031676378
WBS_Encoded,0.031655245
Category_BreachRate_Causal,0.03160325
Queue_Length_At_Open,0.031355843
CIType_BreachRate_Causal,0.031029556
Is_Weekend,0.030964198
Category_Encoded,0.03088318
CI_Days_Since_Prev,0.030558078
CI_Incidents_30d,0.030538427
Trailing_Window_N,0.02846574
Open_Hour,0.02842626
Trailing_Breach_Rate_500,0.027683895
Open_Year,0.026959239
Open_DayOfWeek,0.026937434
Alert_Status_Encoded,0.0
